Θユら戳,坝珇腹,戳る(秅),Θユ丁,Θユ基,Θユ计秖(B+S),る基,环る基,秨絃栋膙基 
20190920,BRF    ,201911     ,190823,2002,2,-,-, 
20190920,BRF    ,201911     ,202503,2001,2,-,-, 
20190920,BRF    ,201911     ,213053,1997,2,-,-, 
20190920,BRF    ,201911     ,215854,1993,2,-,-, 
20190920,BRF    ,201911     ,220325,1997,2,-,-, 
20190920,BRF    ,201911     ,221613,1998,2,-,-, 
20190920,BRF    ,201911     ,232141,1992.5,2,-,-, 
20190920,BRF    ,201911     ,232944,1999.5,2,-,-, 
20190921,BRF    ,201911     ,000529,2004.5,2,-,-, 
20190921,BRF    ,201911     ,000628,2004.5,2,-,-, 
20190921,BRF    ,201911     ,011607,1997,2,-,-, 
20190921,BRF    ,201911     ,012233,1999.5,2,-,-, 
20190921,BRF    ,201911     ,012556,2000.5,2,-,-, 
20190920,BRF    ,201912     ,154455,1965,2,-,-, 
20190920,BRF    ,201912     ,160712,1963,2,-,-, 
20190920,BRF    ,201912     ,234812,1965.5,2,-,-, 
20190920,GDF    ,201910     ,193407,1506.2,12,-,-, 
20190920,GDF    ,201910     ,193433,1506.2,12,-,-, 
20190920,GDF    ,201910     ,214101,1506.1,12,-,-, 
20190920,GDF    ,201910     ,214349,1506.1,12,-,-, 
20190920,GDF    ,201910     ,220631,1504.8,12,-,-, 
20190920,GDF    ,201910     ,220753,1504.7,12,-,-, 
20190921,GDF    ,201910     ,011509,1511.1,12,-,-, 
20190921,GDF    ,201910     ,011543,1511.1,12,-,-, 
20190920,GDF    ,201912     ,193407,1512.2,12,-,-, 
20190920,GDF    ,201912     ,193433,1512.2,12,-,-, 
20190920,GDF    ,201912     ,214101,1512.1,12,-,-, 
20190920,GDF    ,201912     ,214349,1512.1,12,-,-, 
20190920,GDF    ,201912     ,220631,1510.8,12,-,-, 
20190920,GDF    ,201912     ,220818,1510.9,12,-,-, 
20190920,MTX    ,201909W4     ,150041,10923,40,-,-, 
20190920,MTX    ,201909W4     ,150101,10927,40,-,-, 
20190920,MTX    ,201909W4     ,150102,10929,6,-,-, 
20190920,MTX    ,201909W4     ,150231,10928,40,-,-, 
20190920,MTX    ,201909W4     ,150233,10930,2,-,-, 
20190920,MTX    ,201909W4     ,151046,10923,2,-,-, 
20190920,MTX    ,201909W4     ,153042,10920,2,-,-, 
20190920,MTX    ,201909W4     ,153042,10920,4,-,-, 
20190920,MTX    ,201909W4     ,154543,10921,2,-,-, 
20190920,MTX    ,201909W4     ,160037,10924,4,-,-, 
20190920,MTX    ,201909W4     ,160106,10922,2,-,-, 
20190920,MTX    ,201909W4     ,161644,10921,40,-,-, 
20190920,MTX    ,201909W4     ,161654,10921,2,-,-, 
20190920,MTX    ,201909W4     ,163611,10921,2,-,-, 
20190920,MTX    ,201909W4     ,170923,10917,40,-,-, 
20190920,MTX    ,201909W4     ,172510,10920,2,-,-, 
20190920,MTX    ,201909W4     ,173919,10920,40,-,-, 
20190920,MTX    ,201909W4     ,174822,10920,2,-,-, 
20190920,MTX    ,201909W4     ,175745,10922,2,-,-, 
20190920,MTX    ,201909W4     ,195943,10922,2,-,-, 
20190920,MTX    ,201909W4     ,220458,10922,4,-,-, 
20190920,MTX    ,201909W4     ,220459,10925,4,-,-, 
20190920,MTX    ,201909W4     ,231802,10917,2,-,-, 
20190920,MTX    ,201909W4     ,231804,10916,20,-,-, 
20190920,MTX    ,201909W4     ,232801,10915,4,-,-, 
